Before & After	Number of Words	Total Number of Letters	First Word Letters
Closing Time Of Your Life	5	21	7
Clove Of Garlic Bread	4	18	5
Clove Of Garlic Breath	4	19	5
Coat Of Arms & Legs	4	14	4
Coat Of Arms And Legs	5	17	4
Coaxial Cable Stitch	3	18	7
Coconut Water Fountain	3	20	7
Coffee Bean Sprouts	3	17	6
Coffee Break A Leg	4	15	6
Coffee Grounds For Suspicion	4	25	6
Coffee Press Credentials	3	22	6
Coffee Press Release	3	18	6
Coffee Table Tennis	3	17	6
Coffee-Table Book Club	3	19	11
Cold As Ice Bucket	4	15	4
Coleslaw Dressing Room	3	20	8
Colon Jogging Path To Success	5	25	5
Color Blind Date	3	14	5
Color Me America The Beautiful	5	26	5
Color Wheel Of Fortune	4	19	5
Colors That Pop Quiz	4	17	6
Comedy Film Industry	3	18	6
Comedy Routine Maintenance	3	24	6
Comedy Team Player	3	16	6
Comic Strip Of Bacon	4	17	5
Commencement Address Unknown	3	26	12
Common Knowledge Is Power	4	22	6
Common Sense Of Danger	4	19	6
Common Sense Of Smell	4	18	6
Completely Miss The Mark Buffalo	5	28	10
Computer Mouse Trap	3	17	8
Concert Hall Of Justice	4	20	7
Concert Hall Of Records	4	20	7
Concession Stand And Deliver	4	25	10
Concession Stand By Me	4	19	10
Concession Stand Up Straight	4	25	10
Conference Call Forward	3	21	10
Confirmation Letter Opener	3	24	12
Conga Line Of Fire	4	15	5
Congressional Hearing Aid	3	23	13
Constitutional Law & Order	3	22	14
Continental Breakfast Burrito	3	27	11
Conveyor Belt Buckle	3	18	8
Cooking Pot Of Gold	4	16	7
Cool Hand Luke Evans	4	17	4
Corned Beef Hash It Out	5	19	6
Corner Pocket Protector	3	21	6
Corporate Tax Rate Of Return	5	24	9
Correct Answer The Question Please	5	30	7
Cosmic Dust Bunnies	3	17	6
Couch Potato Chips	3	16	5
Couch Potato Pancake	3	18	5
Couch Potato Peeler	3	17	5
Couch Potato Salad	3	16	5
County And Child's Car Seat	5	22	6
Cover Charge By The Hour	5	20	5
